title,genre,console,year,month,total_sales
Rory McIlroy PGA Tour,Sports,XOne,2015,7,0.28
MotoGP 15,Racing,PS4,2015,6,0.18
State of Decay: Year One Survival Edition,Action-Adventure,XOne,2015,4,0.21
Dishonored: Definitive Edition,Action,XOne,2015,8,0.19
Sword Art Online: Hollow Fragment,Role-Playing,PS4,2015,7,0.12
Don Bradman Cricket 14,Sports,PS4,2015,4,0.13
Farming Simulator 2015,Simulation,XOne,2015,5,0.24
Just Dance 2016,Music,XOne,2015,10,0.38
NBA Live 16,Sports,PS4,2015,9,0.21
Skylanders: SuperChargers,Action-Adventure,XOne,2015,9,0.4
Transformers: Devastation,Action,PS4,2015,10,0.24
Tony Hawk's Pro Skater 5,Sports,PS4,2015,9,0.23
Dead or Alive 5 Last Round,Fighting,PS4,2015,2,0.35
Onechanbara Z2: Chaos,Action,PS4,2015,7,0.28
Darksiders II: Deathinitive Edition,Action-Adventure,PS4,2015,10,0.24
Project CARS,Racing,XOne,2015,5,0.41
Saint Seiya: Soldiers' Soul,Fighting,PS4,2015,10,0.3
Disney Infinity 3.0,Action,XOne,2015,8,0.46
Tearaway Unfolded,Platform,PS4,2015,9,0.24
DmC Devil May Cry: Definitive Edition,Action,PS4,2015,3,0.31
Payday 2,Shooter,PS4,2015,6,0.32
NHL 16,Sports,XOne,2015,9,0.51
Tropico 5,Simulation,PS4,2015,4,0.38
J Stars Victory Vs.,Fighting,PS4,2015,6,0.31
Divinity: Original Sin,Role-Playing,PS4,2015,10,0.34
Mad Max (2013),Action,XOne,2015,9,0.5
Bladestorm: Nightmare,Action,PS4,2015,3,0.22
Dynasty Warriors 8: Empires,Misc,PS4,2015,1,0.21
Toukiden Kiwami,Action,PS4,2015,4,0.19
Final Fantasy Type-0 HD,Role-Playing,XOne,2015,3,0.3
Back to the Future: The Game,Adventure,PS4,2015,10,0.18
Ride,Racing,PS4,2015,6,0.24
Godzilla (2015),Action,PS4,2015,7,0.2
Zombie Army Trilogy,Shooter,PS4,2015,3,0.22
Evolve,Shooter,XOne,2015,2,0.67
Saints Row IV: Re-Elected,Action,PS4,2015,1,0.42
Need for Speed (2015),Racing,XOne,2015,11,0.74
Dishonored: Definitive Edition,Action,PS4,2015,8,0.42
Sword Art Online: Lost Song,Role-Playing,PS4,2015,11,0.36
WWE 2K16,Sports,XOne,2015,10,0.63
Resident Evil: Revelations 2,Action,PS4,2015,2,0.57
Minecraft: Story Mode,Adventure,XOne,2015,10,0.77
Just Dance 2016,Music,PS4,2015,10,0.39
Borderlands: The Handsome Collection,Shooter,XOne,2015,3,0.68
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Action,PS4,2015,10,0.81
Rare Replay,Misc,XOne,2015,8,0.78
Wolfenstein: The Old Blood,Shooter,PS4,2015,5,0.48
Tales of Zestiria,Role-Playing,PS4,2015,10,0.45
Farming Simulator 2015,Simulation,PS4,2015,5,0.41
Metal Gear Solid V: The Phantom Pain,Action,XOne,2015,9,0.83
LEGO Jurassic World,Action,XOne,2015,6,0.78
LEGO Dimensions,Action,XOne,2015,9,0.72
